# Truth table
# Generated from circuit main
# Exported on Mon Oct 05 23:18:36 EDT 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

ad[6..0] selector[2..0] | x
1001000       010       | 0
1001000       011       | 1
1001000       100       | 0
1001000       101       | 0
1001000       110       | 1
1001000       111       | -
1001001       000       | 1
1001001       001       | 0
1001001       010       | 0
1001001       011       | 1
1001001       100       | 0
1001001       101       | 0
1001001       110       | 1
1001001       111       | -
1001010       000       | 0
1001010       001       | 1
1001010       010       | 0
1001010       011       | 1
1001010       100       | 0
1001010       101       | 0
1001010       110       | 1
1001010       111       | -
1001011       000       | 1
1001011       001       | 1
1001011       010       | 0
1001011       011       | 1
1001011       100       | 0
1001011       101       | 0
1001011       110       | 1
1001011       111       | -
1001100       000       | 0
1001100       001       | 0
1001100       010       | 1
1001100       011       | 1
1001100       100       | 0
1001100       101       | 0
1001100       110       | 1
1001100       111       | -
1001101       000       | 1
1001101       001       | 0
1001101       010       | 1
1001101       011       | 1
1001101       100       | 0
1001101       101       | 0
1001101       110       | 1
1001101       111       | -
1001110       000       | 0
1001110       001       | 1
1001110       010       | 1
1001110       011       | 1
1001110       100       | 0
1001110       101       | 0
1001110       110       | 1
1001110       111       | -
1001111       000       | 1
1001111       001       | 1
1001111       010       | 1
1001111       011       | 1
1001111       100       | 0
1001111       101       | 0
1001111       110       | 1
1001111       111       | -
1010000       000       | 0
1010000       001       | 0
1010000       010       | 0
1010000       011       | 0
1010000       100       | 1
1010000       101       | 0
1010000       110       | 1
1010000       111       | -
1010001       000       | 1
1010001       001       | 0
1010001       010       | 0
1010001       011       | 0
1010001       100       | 1
1010001       101       | 0
1010001       110       | 1
1010001       111       | -
1010010       000       | 0
1010010       001       | 1
1010010       010       | 0
1010010       011       | 0
1010010       100       | 1
1010010       101       | 0
1010010       110       | 1
1010010       111       | -
1010011       000       | 1
1010011       001       | 1
1010011       010       | 0
1010011       011       | 0
1010011       100       | 1
1010011       101       | 0
1010011       110       | 1
1010011       111       | -
1010100       000       | 0
1010100       001       | 0
1010100       010       | 1
1010100       011       | 0
1010100       100       | 1
1010100       101       | 0
1010100       110       | 1
1010100       111       | -
1010101       000       | 1
1010101       001       | 0
1010101       010       | 1
1010101       011       | 0
1010101       100       | 1
1010101       101       | 0
1010101       110       | 1
1010101       111       | -
1010110       000       | 0
1010110       001       | 1
1010110       010       | 1
1010110       011       | 0
1010110       100       | 1
1010110       101       | 0
1010110       110       | 1
1010110       111       | -
1010111       000       | 1
1010111       001       | 1
1010111       010       | 1
1010111       011       | 0
1010111       100       | 1
1010111       101       | 0
1010111       110       | 1
1010111       111       | -
1011000       000       | 0
1011000       001       | 0
1011000       010       | 0
1011000       011       | 1
1011000       100       | 1
1011000       101       | 0
1011000       110       | 1
1011000       111       | -
1011001       000       | 1
1011001       001       | 0
1011001       010       | 0
1011001       011       | 1
1011001       100       | 1
1011001       101       | 0
1011001       110       | 1
1011001       111       | -
1011010       000       | 0
1011010       001       | 1
1011010       010       | 0
1011010       011       | 1
1011010       100       | 1
1011010       101       | 0
1011010       110       | 1
1011010       111       | -
1011011       000       | 1
1011011       001       | 1
1011011       010       | 0
1011011       011       | 1
1011011       100       | 1
1011011       101       | 0
1011011       110       | 1
1011011       111       | -
1011100       000       | 0
1011100       001       | 0
1011100       010       | 1
1011100       011       | 1
1011100       100       | 1
1011100       101       | 0
1011100       110       | 1
1011100       111       | -
1011101       000       | 1
1011101       001       | 0
1011101       010       | 1
1011101       011       | 1
1011101       100       | 1
1011101       101       | 0
1011101       110       | 1
1011101       111       | -
1011110       000       | 0
1011110       001       | 1
1011110       010       | 1
1011110       011       | 1
1011110       100       | 1
1011110       101       | 0
1011110       110       | 1
1011110       111       | -
1011111       000       | 1
1011111       001       | 1
1011111       010       | 1
1011111       011       | 1
1011111       100       | 1
1011111       101       | 0
1011111       110       | 1
1011111       111       | -
1100000       000       | 0
1100000       001       | 0
1100000       010       | 0
1100000       011       | 0
1100000       100       | 0
1100000       101       | 1
1100000       110       | 1
1100000       111       | -
1100001       000       | 1
1100001       001       | 0
1100001       010       | 0
1100001       011       | 0
1100001       100       | 0
1100001       101       | 1
1100001       110       | 1
1100001       111       | -
1100010       000       | 0
1100010       001       | 1
1100010       010       | 0
1100010       011       | 0
1100010       100       | 0
1100010       101       | 1
1100010       110       | 1
1100010       111       | -
1100011       000       | 1
1100011       001       | 1
1100011       010       | 0
1100011       011       | 0
1100011       100       | 0
1100011       101       | 1
1100011       110       | 1
1100011       111       | -
1100100       000       | 0
1100100       001       | 0
1100100       010       | 1
1100100       011       | 0
1100100       100       | 0
1100100       101       | 1
1100100       110       | 1
1100100       111       | -
1100101       000       | 1
1100101       001       | 0
1100101       010       | 1
1100101       011       | 0
1100101       100       | 0
1100101       101       | 1
1100101       110       | 1
1100101       111       | -
1100110       000       | 0
1100110       001       | 1
1100110       010       | 1
1100110       011       | 0
1100110       100       | 0
1100110       101       | 1
1100110       110       | 1
1100110       111       | -
1100111       000       | 1
1100111       001       | 1
1100111       010       | 1
1100111       011       | 0
1100111       100       | 0
1100111       101       | 1
1100111       110       | 1
1100111       111       | -
1101000       000       | 0
1101000       001       | 0
1101000       010       | 0
1101000       011       | 1
1101000       100       | 0
1101000       101       | 1
1101000       110       | 1
1101000       111       | -
1101001       000       | 1
1101001       001       | 0
1101001       010       | 0
1101001       011       | 1
1101001       100       | 0
1101001       101       | 1
1101001       110       | 1
1101001       111       | -
1101010       000       | 0
1101010       001       | 1
1101010       010       | 0
1101010       011       | 1
1101010       100       | 0
1101010       101       | 1
1101010       110       | 1
1101010       111       | -
1101011       000       | 1
1101011       001       | 1
1101011       010       | 0
1101011       011       | 1
1101011       100       | 0
1101011       101       | 1
1101011       110       | 1
1101011       111       | -
1101100       000       | 0
1101100       001       | 0
1101100       010       | 1
1101100       011       | 1
1101100       100       | 0
1101100       101       | 1
1101100       110       | 1
1101100       111       | -
1101101       000       | 1
1101101       001       | 0
1101101       010       | 1
1101101       011       | 1
1101101       100       | 0
1101101       101       | 1
1101101       110       | 1
1101101       111       | -
1101110       000       | 0
1101110       001       | 1
1101110       010       | 1
1101110       011       | 1
1101110       100       | 0
1101110       101       | 1
1101110       110       | 1
1101110       111       | -
1101111       000       | 1
1101111       001       | 1
1101111       010       | 1
1101111       011       | 1
1101111       100       | 0
1101111       101       | 1
1101111       110       | 1
1101111       111       | -
1110000       000       | 0
1110000       001       | 0
1110000       010       | 0
1110000       011       | 0
1110000       100       | 1
1110000       101       | 1
1110000       110       | 1
1110000       111       | -
1110001       000       | 1
1110001       001       | 0
1110001       010       | 0
1110001       011       | 0
1110001       100       | 1
1110001       101       | 1
1110001       110       | 1
1110001       111       | -
1110010       000       | 0
1110010       001       | 1
1110010       010       | 0
1110010       011       | 0
1110010       100       | 1
1110010       101       | 1
1110010       110       | 1
1110010       111       | -
1110011       000       | 1
1110011       001       | 1
1110011       010       | 0
1110011       011       | 0
1110011       100       | 1
1110011       101       | 1
1110011       110       | 1
1110011       111       | -
1110100       000       | 0
1110100       001       | 0
1110100       010       | 1
1110100       011       | 0
1110100       100       | 1
1110100       101       | 1
1110100       110       | 1
1110100       111       | -
1110101       000       | 1
1110101       001       | 0
1110101       010       | 1
1110101       011       | 0
1110101       100       | 1
1110101       101       | 1
1110101       110       | 1
1110101       111       | -
1110110       000       | 0
1110110       001       | 1
1110110       010       | 1
1110110       011       | 0
1110110       100       | 1
1110110       101       | 1
1110110       110       | 1
1110110       111       | -
1110111       000       | 1
1110111       001       | 1
1110111       010       | 1
1110111       011       | 0
1110111       100       | 1
1110111       101       | 1
1110111       110       | 1
1110111       111       | -
1111000       000       | 0
1111000       001       | 0
1111000       010       | 0
1111000       011       | 1
1111000       100       | 1
1111000       101       | 1
1111000       110       | 1
1111000       111       | -
1111001       000       | 1
1111001       001       | 0
1111001       010       | 0
1111001       011       | 1
1111001       100       | 1
1111001       101       | 1
1111001       110       | 1
1111001       111       | -
1111010       000       | 0
1111010       001       | 1
1111010       010       | 0
1111010       011       | 1
1111010       100       | 1
1111010       101       | 1
1111010       110       | 1
1111010       111       | -
1111011       000       | 1
1111011       001       | 1
1111011       010       | 0
1111011       011       | 1
1111011       100       | 1
1111011       101       | 1
1111011       110       | 1
1111011       111       | -
1111100       000       | 0
1111100       001       | 0
1111100       010       | 1
1111100       011       | 1
1111100       100       | 1
1111100       101       | 1
1111100       110       | 1
1111100       111       | -
1111101       000       | 1
1111101       001       | 0
1111101       010       | 1
1111101       011       | 1
1111101       100       | 1
1111101       101       | 1
1111101       110       | 1
1111101       111       | -
1111110       000       | 0
1111110       001       | 1
1111110       010       | 1
1111110       011       | 1
1111110       100       | 1
1111110       101       | 1
1111110       110       | 1
1111110       111       | -
1111111       000       | 1
1111111       001       | 1
1111111       010       | 1
1111111       011       | 1
1111111       100       | 1
1111111       101       | 1
1111111       110       | 1
1111111       111       | -
